Canonical broad categories: 22
Canonical heme subs: 8
Processing 670 docs (sample=False, force=False, workers=12)
[1/670] Neumega                  (2006) Other/Unmapped       -> Other                               | heme=- (high)
[26/670] Tasigna Capsules         (2007) Leukemia             -> Hematological Malignancies          | heme=- (high)
[27/670] EVISTA                   (2007) Breast               -> Breast Cancer                       | heme=- (high)
[28/670] Ixempra                  (2007) Breast               -> Breast Cancer                       | heme=- (high)
[29/670] Erbitux                  (2007) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[30/670] Nexavar                  (2007) Liver                -> Liver and Bile Duct Cancers         | heme=- (high)
[31/670] Taxotere Injection Conce (2007) Head and Neck        -> Head and Neck Cancers               | heme=- (high)
[32/670] Totect                   (2007) Leukemia             -> Other                               | heme=- (high)
[33/670] Torisel                  (2007) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[34/670] Doxil                    (2007) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[35/670] Soliris                  (2007) Other/Unmapped       -> Other                               | heme=- (high)
[36/670]                          (2008) Prostate             -> Prostate Cancer                     | heme=- (high)
[37/670] Fragmin                  (2007) Other/Unmapped       -> Other                               | heme=- (high)
[38/670] Aranesp                  (2007) Other/Unmapped       -> Other                               | heme=- (high)
[39/670] Aranesp, Epogen, Procrit (2007) Other/Unmapped       -> Other                               | heme=- (high)
[40/670] TREANDA                  (2008) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[41/670] Gleevec                  (2008) Sarcoma              -> Soft Tissue Cancers (including Heart) | heme=- (high)
[42/670] Mozobil                  (2008) Lymphoma             -> Other                               | heme=- (high)
[43/670] Tykerb                   (2007) Breast               -> Breast Cancer                       | heme=- (high)
[44/670] Alimta Injection         (2008) Lung                 -> Lung Cancers                        | heme=- (high)
[45/670] SUTENT                   (2007) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[46/670] Promacta                 (2008) Other/Unmapped       -> Other                               | heme=- (high)
[47/670] Velcade                  (2008) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[48/670] Nplate                   (2008) Other/Unmapped       -> Other                               | heme=- (high)
[49/670] Avastin                  (2008) Breast               -> Breast Cancer                       | heme=- (high)
[50/670] ISTODAX                  (2009) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[51/670] Treanda                  (2008) Leukemia             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[52/670] VOTRIENT                 (2009) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[53/670] AdreView                 (2008) Neuroblastoma        -> Adrenal Cancer and Neuroendocrine Tumors | heme=- (high)
[54/670] Ontak®                   (2008) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[55/670] Arzerra                  (2009) Leukemia             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[56/670] FOLOTYN                  (2009) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[57/670] Erbitux and Vectibix     (2009) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[58/670] Avastin                  (2009) CNS/Brain            -> Brain and Other Nervous System      | heme=- (high)
[59/670] Xgeva                    (2010) Other/Unmapped       -> Other                               | heme=- (high)
[60/670] AFINITOR                 (2009) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[61/670] Halaven Injection        (2010) Breast               -> Breast Cancer                       | heme=- (high)
[62/670] Avastin                  (2009) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[63/670] Herceptin                (2010) Breast               -> Breast Cancer                       | heme=- (high)
[64/670]                          (2009) Leukemia             -> Other                               | heme=- (high)
[65/670] Alimta Injection         (2009) Lung                 -> Lung Cancers                        | heme=- (high)
[66/670] Afinitor                 (2010) Other/Unmapped       -> Brain and Other Nervous System      | heme=- (high)
[67/670] Mylotarg                 (2010) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[68/670] Tarceva                  (2010) Lung                 -> Lung Cancers                        | heme=- (high)
[69/670] Cysview for Intravesical (2010) Other/Unmapped       -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[70/670] Herceptin                (2010) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[71/670] Rituxan                  (2010) Leukemia             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[72/670] Tasigna Capsules         (2010) Leukemia             -> Hematological Malignancies          | heme=- (high)
[73/670] Tykerb                   (2010) Breast               -> Breast Cancer                       | heme=- (high)
[74/670] Sprycel                  (2010) Leukemia             -> Hematological Malignancies          | heme=- (high)
[75/670] Jevtana Injection        (2010) Prostate             -> Prostate Cancer                     | heme=- (high)
[76/670]                          (2010) Leukemia             -> Other                               | heme=- (high)
[77/670] Aranesp, Epogen, Procrit (2010) Other/Unmapped       -> Other                               | heme=- (high)
[78/670]                          (2011) Other/Unmapped       -> Other                               | heme=- (high)
[79/670] Ferriprox Tablets        (2011) Other/Unmapped       -> Other                               | heme=- (high)
[80/670] Erbitux                  (2011) Head and Neck        -> Head and Neck Cancers               | heme=- (high)
[81/670] Adcetris                 (2011) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[82/670] Prolia                   (2011) Breast               -> Other                               | heme=- (high)
[83/670] XALKORI Capsules         (2011) Lymphoma             -> Lung Cancers                        | heme=- (high)
[84/670] Jakafi                   (2011) Other/Unmapped       -> Hematological Malignancies          | heme=Myeloproliferative Neoplasms (high)
[85/670] Nplate                   (2011) Leukemia             -> Other                               | heme=- (high)
[86/670] Sutent Capsules          (2011) Other/Unmapped       -> Adrenal Cancer and Neuroendocrine Tumors | heme=- (high)
[87/670] Avastin                  (2011) Leukemia             -> Other                               | heme=- (high)
[88/670] Afinitor Tablets         (2011) Other/Unmapped       -> Adrenal Cancer and Neuroendocrine Tumors | heme=- (high)
[89/670] Zytiga Tablets           (2011) Prostate             -> Prostate Cancer                     | heme=- (high)
[90/670] ZELBORAF                 (2011) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[91/670] Soliris®                 (2011) Other/Unmapped       -> Other                               | heme=- (high)
[92/670] YERVOY                   (2011) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[93/670] COMETRIQ capsules        (2012) Thyroid              -> Thyroid Cancer                      | heme=- (high)
[94/670] Rituxan                  (2011) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[95/670] Iclusig                  (2012) Leukemia             -> Hematological Malignancies          | heme=- (high)
[96/670] Vandetanib Tablets       (2011) Thyroid              -> Thyroid Cancer                      | heme=- (high)
[97/670] Sylatron                 (2011) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[98/670] Erwinaze                 (2011) Leukemia             -> Hematological Malignancies          | heme=- (high)
[99/670] RituxanInjection         (2012) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[100/670] ABRAXANE                 (2012) Lung                 -> Lung Cancers                        | heme=- (high)
[101/670] SYNRIBO                  (2012) Leukemia             -> Hematological Malignancies          | heme=- (high)
[102/670] ZytigaTablets            (2012) Prostate             -> Prostate Cancer                     | heme=- (high)
[103/670] Zaltrap                  (2012) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[104/670] ALIMTA                   (2012) Lung                 -> Lung Cancers                        | heme=- (high)
[105/670] Kyprolis                 (2012) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[106/670] XTANDICapsules           (2012) Prostate             -> Prostate Cancer                     | heme=- (high)
[107/670] Stivarga                 (2012) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[108/670] PERJETA                  (2012) Breast               -> Breast Cancer                       | heme=- (high)
[109/670]                          (2012) Leukemia             -> Hematological Malignancies          | heme=- (high)
[110/670] VOTRIENT                 (2012) Sarcoma              -> Soft Tissue Cancers (including Heart) | heme=- (high)
[111/670] Afinitor tablets         (2012) Other/Unmapped       -> Other                               | heme=- (high)
[112/670] Marqibo                  (2012) Leukemia             -> Hematological Malignancies          | heme=- (high)
[113/670] ERIVEDGE Capsule         (2012) Other/Unmapped       -> Skin Cancers                        | heme=- (high)
[114/670] Gleevec                  (2012) Sarcoma              -> Soft Tissue Cancers (including Heart) | heme=- (high)
[115/670] Erbitux                  (2012) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[116/670] Voraxaze                 (2012) Lymphoma             -> Other                               | heme=- (high)
[117/670] NEXAVAR                  (2013) Thyroid              -> Thyroid Cancer                      | heme=- (high)
[118/670] Afinitor Disperz         (2012) Other/Unmapped       -> Brain and Other Nervous System      | heme=- (high)
[119/670] IMBRUVICA                (2013) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[120/670] Inlyta                   (2012) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[121/670] Doxil                    (2013) Ovarian              -> Gynecological Cancers               | heme=- (high)
[122/670] PERJETA                  (2013) Breast               -> Breast Cancer                       | heme=- (high)
[123/670] Gilotrif                 (2013) Lung                 -> Lung Cancers                        | heme=- (high)
[124/670] Abraxane for injectable  (2013) Other/Unmapped       -> Other                               | heme=- (high)
[125/670] GAZYVA™                  (2013) Leukemia             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[126/670] Xgeva                    (2013) Other/Unmapped       -> Bone and Joint Cancers              | heme=- (high)
[127/670] REVLIMID                 (2013) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[128/670] TAFINLAR                 (2013) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[129/670] MEKINIST tablet          (2013) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[130/670] Xofigo Injection         (2013) Prostate             -> Prostate Cancer                     | heme=- (high)
[131/670] Tarceva                  (2013) Lung                 -> Lung Cancers                        | heme=- (high)
[132/670] KADCYLA                  (2013) Breast               -> Breast Cancer                       | heme=- (high)
[133/670] POMALYST capsules        (2013) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[134/670] OPDIVO                   (2014) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[135/670] Avastin                  (2013) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[136/670]                          (2013) Ovarian              -> Gynecological Cancers               | heme=- (high)
[137/670] Iclusig                  (2013) Leukemia             -> Hematological Malignancies          | heme=- (medium)
[138/670] Cyramza Injection        (2014) Lung                 -> Lung Cancers                        | heme=- (high)
[139/670] Zydelig tablets          (2014) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[140/670] Avastin                  (2014) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[141/670] Lynparza                 (2014) Ovarian              -> Gynecological Cancers               | heme=- (high)
[142/670] Somatuline Depot Injecti (2014) Other/Unmapped       -> Adrenal Cancer and Neuroendocrine Tumors | heme=- (high)
[143/670] Jakafi                   (2014) Other/Unmapped       -> Hematological Malignancies          | heme=Myeloproliferative Neoplasms (high)
[144/670] KEYTRUDA                 (2014) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[145/670] Avastin                  (2014) Cervical             -> Gynecological Cancers               | heme=- (high)
[146/670] Cyramza                  (2014) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[147/670] Purixan                  (2014) Leukemia             -> Hematological Malignancies          | heme=- (high)
[148/670] BELEODAQ                 (2014) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[149/670] BLINCYTO                 (2014) Leukemia             -> Hematological Malignancies          | heme=- (high)
[150/670] IMBRUVICA                (2014) Leukemia             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[151/670] KeytrudaInjection        (2015) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[152/670] ZYKADIA                  (2014) Lymphoma             -> Lung Cancers                        | heme=- (high)
[153/670] Arzerra Injection        (2014) Leukemia             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[154/670] NINLARO                  (2015) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[155/670] Mekinist tablets and Taf (2014) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[156/670] Sylvant Injection        (2014) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[157/670] COTELLIC Tablets         (2015) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[158/670] Cyramza                  (2014) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[159/670] VISTOGARD granules       (2015) Other/Unmapped       -> Other                               | heme=- (high)
[160/670] PORTRAZZA                (2015) Lung                 -> Lung Cancers                        | heme=- (high)
[161/670] EMPLICITI                (2015) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[162/670] DARZALEX                 (2015) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[163/670] TAGRISSO                 (2015) Lung                 -> Lung Cancers                        | heme=- (high)
[164/670] Yervoy Injection         (2015) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[165/670] ALECENSA                 (2015) Lymphoma             -> Lung Cancers                        | heme=- (high)
[166/670] Opdivo Injection         (2015) Lung                 -> Lung Cancers                        | heme=- (high)
[167/670] ONIVYDE                  (2015) Other/Unmapped       -> Other                               | heme=- (high)
[168/670] LONSURF                  (2015) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[169/670] Praxbind                 (2015) Other/Unmapped       -> Other                               | heme=- (high)
[170/670] IMLYGIC                  (2015) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[171/670] Opdivo Injection         (2015) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[172/670] IRESSA                   (2015) Lung                 -> Lung Cancers                        | heme=- (high)
[173/670] Promacta                 (2015) Other/Unmapped       -> Other                               | heme=- (high)
[174/670] ADCETRIS                 (2015) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[175/670] Odomzo                   (2015) Other/Unmapped       -> Skin Cancers                        | heme=- (high)
[176/670] KEYTRUDA Injection       (2015) Lung                 -> Lung Cancers                        | heme=- (high)
[177/670] Kyprolis                 (2015) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[178/670]                          (2015) Other/Unmapped       -> Colorectal Cancer                   | heme=- (high)
[179/670] Unituxin                 (2015) Neuroblastoma        -> Pediatric Cancers                   | heme=- (high)
[180/670] ZARXIO                   (2015) Breast               -> Other                               | heme=- (high)
[181/670] IBRANCE                  (2015) Breast               -> Breast Cancer                       | heme=- (high)
[182/670] OPDIVO                   (2015) Lung                 -> Lung Cancers                        | heme=- (high)
[183/670] Lenvima                  (2015) Thyroid              -> Thyroid Cancer                      | heme=- (high)
[184/670] RUBRACA                  (2016) Ovarian              -> Gynecological Cancers               | heme=- (high)
[185/670] Imbruvica Capsules       (2015) Other/Unmapped       -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[186/670] FARYDAK                  (2015) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[187/670] DARZALEX                 (2016) Multiple Myeloma     -> Hematological Malignancies          | heme=Multiple Myeloma (high)
[188/670] Mekinist and Tafinlar    (2015) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[189/670] LARTRUVO                 (2016) Sarcoma              -> Soft Tissue Cancers (including Heart) | heme=- (high)
[190/670] OPDIVO Injection         (2016) Head and Neck        -> Head and Neck Cancers               | heme=- (high)
[191/670] KEYTRUDA                 (2016) Lung                 -> Lung Cancers                        | heme=- (high)
[192/670] TARCEVA                  (2016) Lung                 -> Lung Cancers                        | heme=- (high)
[193/670] KEYTRUDA                 (2016) Head and Neck        -> Head and Neck Cancers               | heme=- (high)
[194/670] Opdivo                   (2016) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[195/670] Xalkori                  (2016) Lung                 -> Lung Cancers                        | heme=- (high)
[196/670] Tecentriq                (2016) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[197/670] cobas EGFR Mutation Test (2016) Lung                 -> Lung Cancers                        | heme=- (high)
[198/670] CABOMETYX                (2016) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[199/670] Lenvima                  (2016) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[200/670] VENCLEXTA                (2016) Leukemia             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[201/670] Defitelio                (2016) Other/Unmapped       -> Other                               | heme=- (high)
[202/670] Afinitor                 (2016) Other/Unmapped       -> Adrenal Cancer and Neuroendocrine Tumors | heme=- (high)
[203/670] IBRANCE Capsules         (2016) Breast               -> Breast Cancer                       | heme=- (high)
[204/670] HALAVEN injection        (2016) Other/Unmapped       -> Soft Tissue Cancers (including Heart) | heme=- (high)
[205/670] Siklos                   (2017) Other/Unmapped       -> Other                               | heme=- (high)
[206/670] OPDIVO                   (2017) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[207/670] Gazyva Injection         (2016) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[208/670] TECENTRIQ                (2016) Lung                 -> Lung Cancers                        | heme=- (high)
[209/670] Sutent                   (2017) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[210/670] HEMLIBRA                 (2017) Other/Unmapped       -> Other                               | heme=- (high)
[211/670] PERJETA                  (2017) Breast               -> Breast Cancer                       | heme=- (high)
[212/670] Arzerra Injection        (2016) Leukemia             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[213/670] FoundationOne CDx        (2017) Other/Unmapped       -> Other                               | heme=- (high)
[214/670] Tasigna                  (2017) Leukemia             -> Hematological Malignancies          | heme=- (high)
[215/670] GAZYVA                   (2017) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[216/670] Ogivri                   (2017) Gastric/GI           -> Breast Cancer                       | heme=- (high)
[217/670] SPRYCEL                  (2017) Leukemia             -> Hematological Malignancies          | heme=- (high)
[218/670] ADCETRIS                 (2017) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[219/670] KEYTRUDA                 (2017) Gastric/GI           -> Gastric (Stomach) Cancer            | heme=- (high)
[220/670] YESCARTA                 (2017) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[221/670] VYXEOS                   (2017) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[222/670] NERLYNX                  (2017) Breast               -> Breast Cancer                       | heme=- (high)
[223/670] OPDIVO                   (2017) Liver                -> Liver and Bile Duct Cancers         | heme=- (high)
[224/670] ZELBORAF                 (2017) Other/Unmapped       -> Other                               | heme=- (high)
[225/670] JEVTANA                  (2017) Prostate             -> Prostate Cancer                     | heme=- (high)
[226/670] Imbruvica                (2017) Other/Unmapped       -> Other                               | heme=- (high)
[227/670] ALECENSA                 (2017) Lymphoma             -> Lung Cancers                        | heme=- (high)
[228/670] KEYTRUDA                 (2017) Colorectal           -> Colorectal Cancer                   | heme=- (medium)
[229/670] BEVYXXA                  (2017) Leukemia             -> Other                               | heme=- (high)
[230/670] RITUXAN HYCELA           (2017) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[231/670] Mylotarg                 (2017) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[232/670] KEYTRUDA                 (2017) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[233/670] Calquence                (2017) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[234/670] Mvasi                    (2017) Other/Unmapped       -> Other                               | heme=- (medium)
[235/670] BOSULIF                  (2017) Leukemia             -> Hematological Malignancies          | heme=- (high)
[236/670] Cabometyx                (2017) Renal                -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[237/670] IDHIFA                   (2017) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[238/670] BESPONSA                 (2017) Leukemia             -> Hematological Malignancies          | heme=- (high)
[239/670] OPDIVO                   (2017) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[240/670] KYMRIAH                  (2017) Leukemia             -> Pediatric Cancers                   | heme=- (high)
[241/670] Endari                   (2017) Other/Unmapped       -> Other                               | heme=- (high)
[242/670] ZYKADIA                  (2017) Lymphoma             -> Lung Cancers                        | heme=- (high)
[243/670] BLINCYTO                 (2017) Leukemia             -> Hematological Malignancies          | heme=- (high)
[244/670] ELZONRIS                 (2018) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[245/670] TAFINLAR and MEKINIST    (2017) Lung                 -> Lung Cancers                        | heme=- (high)
[246/670] Gleolan                  (2017) Other/Unmapped       -> Brain and Other Nervous System      | heme=- (high)
[247/670] KEYTRUDA                 (2017) Lung                 -> Lung Cancers                        | heme=- (high)
[248/670] BAVENCIO                 (2017) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[249/670] TECENTRIQ                (2018) Lung                 -> Lung Cancers                        | heme=- (high)
[250/670] IMFINZI                  (2017) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[251/670] ASPARLAS                 (2018) Leukemia             -> Pediatric Cancers                   | heme=- (high)
[252/670] LYNPARZA                 (2018) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[253/670] KEYTRUDA                 (2018) Other/Unmapped       -> Skin Cancers                        | heme=- (high)
[254/670] VECTIBIX                 (2017) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[255/670] Truxima                  (2018) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[256/670] NPLATE                   (2018) Other/Unmapped       -> Other                               | heme=- (high)
[257/670] DAURISMO                 (2018) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[258/670] KEYTRUDA                 (2018) Lung                 -> Lung Cancers                        | heme=- (high)
[259/670] TALZENNA                 (2018) Breast               -> Breast Cancer                       | heme=- (high)
[260/670] LORBRENA                 (2018) Lymphoma             -> Lung Cancers                        | heme=- (high)
[261/670] XOSPATA                  (2018) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[262/670] LIBTAYO                  (2018) Other/Unmapped       -> Skin Cancers                        | heme=- (high)
[263/670] VITRAKVI                 (2018) Other/Unmapped       -> Other                               | heme=- (high)
[264/670] VENCLEXTA                (2018) Lymphoma             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[265/670] VIZIMPRO                 (2018) Lung                 -> Lung Cancers                        | heme=- (high)
[266/670] Keytruda                 (2018) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[267/670] Lenvima                  (2018) Liver                -> Liver and Bile Duct Cancers         | heme=- (high)
[268/670] GAMIFANT                 (2018) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[269/670] LUMOXITI                 (2018) Leukemia             -> Hematological Malignancies          | heme=Hairy Cell Leukemia (high)
[270/670] ADCETRIS                 (2018) Lymphoma             -> Hematological Malignancies          | heme=- (high)
[271/670] KEYTRUDA                 (2018) Lung                 -> Lung Cancers                        | heme=- (high)
[272/670] Opdivo                   (2018) Lung                 -> Lung Cancers                        | heme=- (high)
[273/670] AZEDRA                   (2018) Other/Unmapped       -> Adrenal Cancer and Neuroendocrine Tumors | heme=- (high)
[274/670] Tibsovo                  (2018) Leukemia             -> Hematological Malignancies          | heme=Acute Myeloid Leukemia (high)
[275/670] Poteligeo                (2018) Other/Unmapped       -> Hematological Malignancies          | heme=- (high)
[276/670] Kisqali                  (2018) Breast               -> Breast Cancer                       | heme=- (high)
[277/670] XTANDI                   (2018) Prostate             -> Prostate Cancer                     | heme=- (high)
[278/670] YERVOY                   (2018) Colorectal           -> Colorectal Cancer                   | heme=- (high)
[279/670] Keytruda                 (2018) Bladder              -> Kidney (Renal) and Urethral Cancers | heme=- (high)
[280/670] Avastin                  (2018) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[281/670] BRAFTOVI and MEKTOVI     (2018) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[282/670] Retacrit                 (2018) Other/Unmapped       -> Other                               | heme=- (high)
[283/670] Keytruda                 (2018) Cervical             -> Gynecological Cancers               | heme=- (high)
[284/670] VENCLEXTA                (2018) Lymphoma             -> Hematological Malignancies          | heme=Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (high)
[285/670] Mircera                  (2018) Other/Unmapped       -> Other                               | heme=- (high)
[286/670] Keytruda                 (2018) Lymphoma             -> Hematological Malignancies          | heme=B-Cell Lymphomas (high)
[287/670] Doptelet                 (2018) Other/Unmapped       -> Other                               | heme=- (high)
[288/670] Fulphila                 (2018) Other/Unmapped       -> Other                               | heme=- (high)
[289/670] TAFINLAR and MEKINIST    (2018) Thyroid              -> Thyroid Cancer                      | heme=- (high)
[290/670] Rubraca®                 (2018) Other/Unmapped       -> Gynecological Cancers               | heme=- (high)
[291/670] Afinitor Disperz         (2018) Other/Unmapped       -> Specific Syndromes                  | heme=- (high)
[292/670] TAFINLAR, MEKINIST       (2018) Melanoma/Skin        -> Skin Cancers                        | heme=- (high)
[293/670] Adcetris                 (2018) Lymphoma             -> Hematological Malignancies          | heme=- (high)
